license_number,business_name,dba_name,city,county,weedmaps_url,leafly_url,verified_url,menu_provider
C10-0000762-LIC,Canntinas Group,Canntinas Cannabis Company,Sacramento,Sacramento,https://weedmaps.com/dispensaries/canntinas-company-sacramento,https://www.leafly.com/dispensary-info/canntinas-company,,
C10-0000413-LIC,"Cc101, Inc. [Equity Retailer]",KOLAS #103 [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/kolas-103-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/kolas-103-equity-retailer,,
C10-0001403-LIC,Closed Door Inc [Equity Retailer],Crystal Nugs Shop [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/crystal-nugs-shop-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/crystal-nugs-shop-equity-retailer,,
C10-0000508-LIC,Community Health Solutions,,Sacramento,Sacramento,https://weedmaps.com/dispensaries/community-health-solutions-sacramento,https://www.leafly.com/dispensary-info/community-health-solutions,,
C10-0001573-LIC,D1 Management LLC,Jackpot,Sacramento,Sacramento,https://weedmaps.com/dispensaries/jackpot-sacramento,https://www.leafly.com/dispensary-info/jackpot,,
C10-0000021-LIC,"Delta Health & Wellness, Inc.",,Sacramento,Sacramento,https://weedmaps.com/dispensaries/delta-health-sacramento,https://www.leafly.com/dispensary-info/delta-health,,
C10-0000348-LIC,"Doc's, Inc. [Equity Retailer]",KOLAS #105 [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/kolas-105-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/kolas-105-equity-retailer,,
C10-0001168-LIC,Embarc Sacramento LLC [Equity Retailer],Embarc Sacramento [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/embarc-sacramento-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/embarc-sacramento-equity-retailer,,
C10-0001181-LIC,Fairleaf Inc [Equity Retailer],The Kana Company [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/the-kana-company-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/the-kana-company-equity-retailer,,
C10-0000153-LIC,"G.S.H.L.E., Inc.",Green Solutions,Sacramento,Sacramento,https://weedmaps.com/dispensaries/green-solutions-sacramento,https://www.leafly.com/dispensary-info/green-solutions,,
C10-0000188-LIC,"Golden Health & Wellness, Inc.","GOLDEN HEALTH & WELLNESS, INC.",Sacramento,Sacramento,https://weedmaps.com/dispensaries/golden-health-sacramento,https://www.leafly.com/dispensary-info/golden-health,,
C10-0000574-LIC,Greenstone Biomass Research P.O.D.,Mainstage,Sacramento,Sacramento,https://weedmaps.com/dispensaries/mainstage-sacramento,https://www.leafly.com/dispensary-info/mainstage,,
C10-0000009-LIC,Horizon Collective Inc.,1841 El Camino,Sacramento,Sacramento,https://weedmaps.com/dispensaries/1841-el-camino-sacramento,https://www.leafly.com/dispensary-info/1841-el-camino,,
C10-0000254-LIC,"Hugs Alternative Care, Inc.",Perfect Union,Sacramento,Sacramento,https://weedmaps.com/dispensaries/perfect-union-sacramento,https://www.leafly.com/dispensary-info/perfect-union,,
C10-0000678-LIC,"Inter-Stat, Inc.",The Sanctuary,Sacramento,Sacramento,https://weedmaps.com/dispensaries/the-sanctuary-sacramento,https://www.leafly.com/dispensary-info/the-sanctuary,,
