store_id,product_count,top_brands
215,20,"Cookies(6); Vibes(4); Gage(4); Vlasic(2); Lemonnade(1)"
217,20,"Cookies(9); Gage(5); K Haring Glass(1); Puffco(1); Vibes(1)"
218,20,"Tales & Travels(10); Revolution Cannabis(5); The Funnies Gummies(2); BIC(1); Paul Bunyan(1)"
219,20,"Revolution Cannabis(20)"
220,20,"Bella Canvas(5); Cookies(5); Next Level(3); Gage x Shroomie(2); MAXX(1)"
221,20,"Cookies(14); G-Pen(1); Grav(1); Grenco Science(1); Gage(1)"
222,20,"Cookies(16); Vibes(1); Gage(1); Vlasic(1); Blazer(1)"
224,20,"Cheetah(10); Nature's Grace & Wellness(7); Luv Buds(1); BIC(1); Joos(1)"
225,20,"Wyld(3); Select(3); Daze Off(2); Anthem(2); Jams(2)"
228,20,"Grön(4); Daze Off(4); TILT(2); Wyld(2); Aeriz(2)"
229,20,"Grön(6); TILT(3); KANHA(3); Aeriz(2); Grasshopper Club(1)"
231,20,"RAW(4); Ozone(2); Centerpoint(1); Blink Torch(1); Garden Greens(1)"
232,20,"Ozone(8); OGeez!(2); Find(2); Jerzy Landscapes(2); Simply Herb(2)"
235,20,"Sunnies(7); SunMed Growers(6); Fade Co.(3); Dompen(2); District Cannabis(1)"
240,20,"Seed & Strain (8); Encore(2); Wyld(2); Triple Seven(1); Green Rose(1)"
243,20,"&Shine(3); Revolution(3); Bisa Lina(2); Simply Herb(2); Savvy(2)"
246,20,"The Sipp(2); Dragon Fire Farms(2); One Source(2); Suite 1620(1); Nature's Choice(1)"
258,20,"Cheetah(11); Nature's Grace & Wellness(4); RYTHM(2); Joos(2); Hijnx(1)"
260,20,"The Sipp(2); Five Points Farms(2); Sweet Life(2); Van's Reserve(2); Nature's Choice(1)"
261,20,"Five Points Farms(4); Wavelength(3); Growrite Cannabis(2); Dragon Fire Farms(2); The Sipp(1)"
262,20,"&Shine(4); Rythm REMIX(3); High Supply(2); Select(2); MISix(1)"
263,20,"Rythm REMIX(5); &Shine(3); Natures Grace(2); Daze Off(1); Grassroots(1)"
264,20,"Savvy(3); Daze Off(2); Wyld(2); Wana(2); Select(2)"
273,20,"Tales & Travels(10); The Funnies Gummies(4); Revolution Cannabis(3); Simply Herb(1); RYTHM(1)"
360,20,"Oil(12); Hot Stix(3); Sugar Cones(3); Bonsai(1); Summit(1)"
361,20,"Oil(8); Sugar Cones(4); Hot Stix(3); Bonsai(2); Heartland Industries(1)"
362,20,"Sugar Cones(4); Ript(4); Oil(4); Hot Stix(3); Bonsai(2)"
363,20,"Oil(12); Hot Stix(3); Best Buds(1); Bonsai(1); Heartland Industries(1)"
364,20,"Oil(7); Hot Stix(3); Bonsai(3); Summit(2); Sugar Cones(2)"
365,20,"Oil(10); Hot Stix(3); Sugar Cones(3); Bonsai(2); Flyin' Hawaiian(1)"
366,20,"Seed & Strain (6); (the) Essence(3); Encore(3); Triple Seven(2); Amber(2)"
367,20,"Emerald Sky(3); Camino(3); Circles Base Camp(3); Tempo(3); Pabst Labs(2)"
373,20,"Select(3); 93 Boyz(2); Jams(2); Savvy(2); High Wired(2)"
377,20,"Seed & Strain(4); Sunmed(3); Triple Seven(2); Keef(2); Bettys Eddies(2)"
378,20,"Oil(9); Sugar Cones(4); Hot Stix(3); Heartland Industries(1); Bonsai(1)"
382,20,"(the) Essence(20)"
383,20,"(the) Essence(20)"
384,20,"(the) Essence(20)"
385,20,"(the) Essence(20)"
387,20,"Peninsula Gardens(2); Choice(2); Homiez(1); Green Mitten Agriculture(1); Gold Crown(1)"
388,20,"Choice(2); Gold Crown(1); Uplyfted(1); Rove(1); Good Tide(1)"
389,20,"(the) Essence(20)"
393,20,"#Hash(2); Mojo(2); Bigg Canna of Edmore(2); Trap House(1); Cookies(1)"
400,0,""
457,20,"Seed & Strain(7); Fernway(4); Triple Seven(3); OGeez(2); Pete's Farmstand(2)"
458,20,"Seed & Strain(6); Triple Seven(3); OGeez(3); LuvBuds(1); Ric Flair(1)"
506,20,"Rythm(5); Savvy(2); Ivy Hall(2); Dogwalkers(1); Select(1)"
535,20,"Verano Reserve(20)"
536,20,"Verano Reserve(20)"
537,20,"Verano Reserve(20)"
538,20,"Verano Reserve(20)"
539,20,"Verano Reserve(20)"
540,20,"Verano Reserve(20)"
541,20,"Verano Reserve(20)"
542,20,"Verano Reserve(20)"
543,20,"Verano Reserve(20)"
545,20,"Verano Reserve(20)"
546,20,"Seed & Strain(7); Old Pal Cannabis(3); Triple Seven(3); Pete's Farmstand(1); Ozone(1)"
547,20,"Savvy(20)"
548,20,"Savvy(20)"
550,19,"Test Concentrate Brand(3); Test Flower Brand(3); Test Flower Prerolls Brand(3); Test Vapes Brand(2); Test Topicals Brand(2)"
552,20,"Verano Reserve(20)"
553,20,"Verano Reserve(20)"
554,20,"Verano Reserve(20)"
555,20,"Verano Reserve(20)"
556,20,"Nature's Choice(2); Mag High Growers(2); Dragon Fire Farms(2); Growrite Cannabis(2); Pharm Grown(2)"
560,2,"Big River(1); Bakked(1)"
564,20,"Tagus(20)"
566,20,"HABITAT(6); WYLD(4); Circles Base Camp(2); Anarchy(2); Alien Labs(2)"
569,20,"WYLD(4); Camino(3); Birdies(3); Alien Labs(2); Lost Farm(2)"
572,20,"Oil(7); Hot Stix(3); Summit(2); Nu Hi(2); Bonsai(2)"
574,5,"Kirjavalahti(3); AutotestBrand(2)"
576,20,"Verano Reserve(20)"
577,20,"Verano Reserve(20)"
578,20,"Verano Reserve(20)"
579,20,"Verano Reserve(10); Verano(10)"
580,20,"(the) Essence(6); Savvy(5); Rove(2); Panna(2); Haze(2)"
583,20,"Savvy(14); (the) Essence(3); Verano Reserve(3)"
584,20,"Cannect Wellness(3); IC Collective(2); Airo(2); Fruit Stand(2); Grassroots(1)"
585,20,"Bonsai(5); Hot Stix(3); Sugar Cones(2); Boost(2); Flyin' Hawaiian(2)"
590,0,""
591,20,"Columbia Care(4); Kind Tree(2); (The) Essence(2); &Shine(1); Verano(1)"
592,20,"Oil(8); Sugar Cones(3); Bonsai(3); Hot Stix(3); Summit(1)"
593,0,""
598,3,"TEST(2)"
602,20,"Columbia Care(4); Kind Tree(2); (The) Essence(2); &Shine(1); Verano(1)"
603,20,"Nature's Heritage(4); Daze Off(3); Ozone(2); &Shine(2); RAW(1)"
604,5,"Kirjavalahti(3); AutotestBrand(2)"
605,20,"Dixie(5); Coda(4); CannaPunch(2); incredibles(2); Escape Artists(2)"
